"component","polarity","window_start_ms","window_end_ms","channel","channel_label","amplitude","latency_ms","peak_sample","boundary_peak"
"P180","positive",140,220,37,"FC4",1.05497839265795,213,464,FALSE
"P180","positive",140,220,38,"CP3",1.7921086145772,209,460,FALSE
"P180","positive",140,220,39,"CP4",3.14859329481336,165,416,FALSE
"P180","positive",140,220,40,"PO3",5.7387515198542,151,402,FALSE
"P180","positive",140,220,41,"PO4",1.72512162921952,187,438,FALSE
"P180","positive",140,220,42,"F5",2.62882808239075,165,416,FALSE
"P180","positive",140,220,43,"F6",3.69115596874979,146,397,FALSE
"P180","positive",140,220,44,"C5",4.03240234602471,206,457,FALSE
"P180","positive",140,220,45,"C6",1.8799016458029,218,469,FALSE
"P180","positive",140,220,46,"P5",2.95442208995843,181,432,FALSE
"P180","positive",140,220,47,"P6",2.49278716098072,206,457,FALSE
"P180","positive",140,220,48,"AF7",2.4974262071417,177,428,FALSE
"P180","positive",140,220,49,"AF8",0.0805402822868532,176,427,FALSE
"P180","positive",140,220,50,"FT7",2.38485673355244,189,440,FALSE
"P180","positive",140,220,51,"FT8",1.22511550486977,193,444,FALSE
"P180","positive",140,220,52,"TP7",4.4367926080383,197,448,FALSE
"P180","positive",140,220,53,"TP8",1.29867146346853,171,422,FALSE
"P180","positive",140,220,54,"PO7",0.521832018931423,213,464,FALSE
"P180","positive",140,220,55,"PO8",1.92304059178507,176,427,FALSE
"P180","positive",140,220,56,"Fpz",3.85110077145617,212,463,FALSE
"P180","positive",140,220,57,"CPz",5.90165073958551,205,456,FALSE
"P180","positive",140,220,58,"POz",1.36171491240016,141,392,FALSE
"P180","positive",140,220,59,"Oz",2.89034058718766,190,441,FALSE
