"time","ankle_moment","knee_moment","hip_moment","ankle_fx","ankle_fy","knee_fx","knee_fy","hip_fx","hip_fy"
13.0533333333,-102.4921885645,-25.3115912479,3.2942492698,-124.2149765625,-629.7784539756,-82.5824835675,-566.555296078,-14.9563711033,-383.1296186686
13.06,-95.8881111443,-17.1016218709,0.60617319,-127.1463475,-613.267986135,-103.0721695263,-585.6877335386,-34.6672489204,-532.644007892
13.0666666667,-99.0448482792,-23.815582452,-4.7660059794,-132.2797371875,-586.3134170131,-99.9592845538,-544.1955294553,-27.4780489916,-468.2557913131
13.0733333333,-95.1156247889,-21.670631936,-14.5041892618,-129.6376715625,-544.6167407662,-95.7220685137,-503.2105297215,-90.3272242719,-358.8746296059
13.08,-89.4104200832,-20.0399118166,-2.1578109794,-132.5376715625,-502.8976873569,-85.43098304,-454.6237785264,11.6004629801,-368.901831369
13.0866666667,-72.7498246376,-8.1822330447,15.4638097432,-127.2012303125,-447.3541870131,-72.2167375475,-423.919926241,1.1924396305,-378.4988148742
13.0933333333,-68.3669395365,-19.2953316943,-32.5594888206,-121.0460378125,-393.2292633225,-90.4241249725,-304.6727536489,-79.4900374107,-88.1081979979
13.1,-59.6949338086,-8.7757713255,37.5834158995,-118.156591875,-340.7401333725,-38.5615401487,-315.4036635041,122.9476449954,-291.9596183693
13.1066666667,-44.6996608286,-5.7809050307,-8.7793895296,-99.0575025,-265.7988651006,-46.36467807,-221.4798720846,-120.3301467781,-85.8429511794
13.1133333333,-36.1505147332,0.5903551013,48.7017068318,-65.3503196875,-196.29959376,3.25825016,-165.0032314931,303.646207568,-40.2222806159
13.12,-3.7204562357,32.9467159593,45.3457731073,-14.1516153125,-146.4283276412,22.7615023563,-109.1559038099,-58.5990929035,-52.4290547951
13.1266666667,1.6187748853,-10.6162927591,-3.4063600125,5.1510796875,32.1833668119,29.3535226799,86.2609179271,-27.7740666542,171.2959042249
13.1333333333,6.4544907813,-13.5129926813,6.6309806929,8.605333125,42.1067703275,9.6065776351,98.2209367314,223.2130563631,238.3955394828
13.14,4.2620046682,-0.7713679023,2.3681806362,19.9377084375,24.0392068213,39.9089605387,69.2017949788,-106.8052371051,93.078563908
13.1466666667,0.1453389782,7.5478438044,58.4499243865,21.08912625,14.9678524869,83.0224735762,39.9932213825,254.92365794,173.2418762255
13.1533333333,0.8200919932,4.7458609655,22.418844493,20.11951125,12.7674324463,62.5145980838,48.8447372484,-21.7505491222,174.1829265348
13.16,15.9266821525,5.6158108462,-8.6056952695,7.2883846875,25.050488315,-4.0751186101,61.6619974861,-34.9717869061,195.0273551905
13.1666666667,24.6067409674,28.129667959,70.5787717177,31.3138584375,32.7330374587,93.7843641151,70.2115404203,121.5326590712,215.8034757946
13.1733333333,23.8543201233,14.0019972695,15.3059127788,11.7286475,32.2024889306,9.1400262124,62.3133714788,-11.3101973096,231.076861196
13.18,26.6105906088,15.1654222119,12.9292668411,17.829943125,32.3820549025,10.000335435,86.9805174666,-28.8998292991,310.0536840186
13.1866666667,23.3008603474,30.0044402666,59.6403283439,39.91219625,25.3993308587,88.2463421338,54.2003554881,51.469554006,199.3766108937
13.1933333333,5.9572795208,1.888187277,-5.1170824695,12.726196875,-0.0478478069,-9.7854799613,54.4286463849,-39.9980280354,279.3299999523
13.2,1.8270767954,10.8538417027,28.8587252345,25.9978021875,-1.3883405444,55.5065301375,33.0077596756,15.6547518074,196.1022836224
13.2066666667,22.0742260034,18.8754414882,23.5805592906,12.7956428125,21.9730054963,21.0426948363,50.2011907782,-24.6418593656,245.2526510052
13.2133333333,20.0696696719,15.8251349235,18.4459445882,17.20624375,27.0016396306,27.03212155,57.4185702871,-82.7608888879,198.0912314977
13.22,26.4201607295,21.5647043365,35.2422584443,10.8019434375,27.8649769087,15.4342540237,32.9609936093,74.4177265897,182.9317718441
13.2266666667,13.9515938144,6.4748194075,8.4236766275,6.432544375,24.1930828025,3.8602477262,47.3045821456,-27.6211184758,173.326891654
13.2333333333,19.8615449283,20.6003619699,32.1178474409,14.8968446875,20.8915753869,33.73858726,24.4170063669,2.9650132599,147.8751670017
13.24,4.347944222,-4.2857004048,-16.5573186119,-4.5450703125,-0.2029862069,-44.2955656688,28.8765678541,-42.4657216148,134.2171418761
13.2466666667,-0.5054352075,16.701284025,39.8888639627,23.876769375,-8.1011063913,66.3604756763,-10.6704404204,49.0822974744,91.0731762406
13.2533333333,15.3969083104,6.1412619764,1.6696834774,-1.2996903125,21.9017739556,-11.7979877563,33.9495214632,-30.9557211703,126.7079646757
13.26,15.4083857406,10.9117863749,18.0988492281,1.7215115625,14.5491327525,-0.41001984,27.3676364183,60.4032967799,103.158714526
13.2666666667,1.0582534581,10.8770134022,21.3917986606,18.7256896875,-1.4822719975,46.11843351,5.5301018195,-80.7562776959,99.9529219457
13.2733333333,22.4001103462,13.0759004299,-0.2237613191,3.5944225,24.6761880025,-23.7415737688,27.2848739121,-53.5398621928,57.8454263944
13.28,20.2628627849,11.7311558882,49.1249553114,5.3214646875,27.89173169,14.7780947063,49.7246231371,266.6242899262,192.0621347011
